date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:24	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20May%202021%2010:20:34%20GMT	http://quickdevs.com/robots.txt		(from )
15:20:25	39755/39755	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-9b4b%22	http://quickdevs.com/demo/travi/	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/index.html	(from )
15:20:27	58935/58935	---M--	200	added ('OK')	text/css	etag:%226075b334-e637%22	http://quickdevs.com/demo/travi/fonts/css/all.min.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/fonts/css/all.min.css	(from http://quickdevs.com/demo/travi/)
15:20:28	1860/1860	---M--	200	added ('OK')	text/css	etag:%226075b332-744%22	http://quickdevs.com/demo/travi/css/lib/flickity.min.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/lib/flickity.min.css	(from http://quickdevs.com/demo/travi/)
15:20:29	160403/160403	---M--	200	added ('OK')	text/css	etag:%226075b331-27293%22	http://quickdevs.com/demo/travi/css/lib/bootstrap.min.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/lib/bootstrap.min.css	(from http://quickdevs.com/demo/travi/)
15:20:29	5259/5259	---M--	200	added ('OK')	text/css	etag:%226075b332-148b%22	http://quickdevs.com/demo/travi/css/lib/magnific-popup.min.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/lib/magnific-popup.min.css	(from http://quickdevs.com/demo/travi/)
15:20:30	3026/3026	---M--	200	added ('OK')	text/css	etag:%226075b333-bd2%22	http://quickdevs.com/demo/travi/css/lib/owl.carousel.min.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/lib/owl.carousel.min.css	(from http://quickdevs.com/demo/travi/)
15:20:31	57098/57098	---M--	200	added ('OK')	image/png	etag:%226075b3ad-df0a%22	http://quickdevs.com/demo/travi/images/icons/favicon.png	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/icons/favicon.png	(from http://quickdevs.com/demo/travi/)
15:20:31	1280/1280	---M--	200	added ('OK')	text/css	etag:%226075b333-500%22	http://quickdevs.com/demo/travi/css/lib/slick.min.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/lib/slick.min.css	(from http://quickdevs.com/demo/travi/)
15:20:32	8576/8576	---M--	200	added ('OK')	text/css	etag:%226075b32d-2180%22	http://quickdevs.com/demo/travi/css/navbar.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/navbar.css	(from http://quickdevs.com/demo/travi/)
15:20:32	25948/25948	---M--	200	added ('OK')	text/css	etag:%226075b330-655c%22	http://quickdevs.com/demo/travi/css/lib/aos.min.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/lib/aos.min.css	(from http://quickdevs.com/demo/travi/)
15:20:33	28128/28128	---M--	200	added ('OK')	text/css	etag:%226075b32d-6de0%22	http://quickdevs.com/demo/travi/css/main.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/main.css	(from http://quickdevs.com/demo/travi/)
15:20:34	42486/42486	---M--	200	added ('OK')	text/css	etag:%226075b32d-a5f6%22	http://quickdevs.com/demo/travi/css/stylesheet.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/stylesheet.css	(from http://quickdevs.com/demo/travi/)
15:20:35	5064/5064	---M--	200	added ('OK')	text/css	etag:%226075b32d-13c8%22	http://quickdevs.com/demo/travi/css/responsive.css	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/css/responsive.css	(from http://quickdevs.com/demo/travi/)
15:20:35	1522/1522	---M--	200	added ('OK')	application/javascript	etag:%226075b32e-5f2%22	http://quickdevs.com/demo/travi/js/modernizr-custom.js	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/js/modernizr-custom.js	(from http://quickdevs.com/demo/travi/)
15:20:35	39755/39755	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-9b4b%22	http://quickdevs.com/demo/travi/index.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/index-2.html	(from http://quickdevs.com/demo/travi/)
15:20:36	7147/7147	---M--	200	added ('OK')	image/png	etag:%226075b3b0-1beb%22	http://quickdevs.com/demo/travi/images/logos/logo.png	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/logos/logo.png	(from http://quickdevs.com/demo/travi/)
15:20:36	22634/22634	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32a-586a%22	http://quickdevs.com/demo/travi/about-us.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/about-us.html	(from http://quickdevs.com/demo/travi/)
15:20:36	21384/21384	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-5388%22	http://quickdevs.com/demo/travi/tours.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/tours.html	(from http://quickdevs.com/demo/travi/)
15:20:37	15485/15485	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-3c7d%22	http://quickdevs.com/demo/travi/tour-description.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/tour-description.html	(from http://quickdevs.com/demo/travi/)
15:20:37	16006/16006	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-3e86%22	http://quickdevs.com/demo/travi/gallery-grid.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/gallery-grid.html	(from http://quickdevs.com/demo/travi/)
15:20:38	17219/17219	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-4343%22	http://quickdevs.com/demo/travi/team.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/team.html	(from http://quickdevs.com/demo/travi/)
15:20:38	16680/16680	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-4128%22	http://quickdevs.com/demo/travi/testimonials.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/testimonials.html	(from http://quickdevs.com/demo/travi/)
15:20:38	11973/11973	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32b-2ec5%22	http://quickdevs.com/demo/travi/faq.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/faq.html	(from http://quickdevs.com/demo/travi/)
15:20:39	7104/7104	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32a-1bc0%22	http://quickdevs.com/demo/travi/404-error-page.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/404-error-page.html	(from http://quickdevs.com/demo/travi/)
15:20:39	11464/11464	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32a-2cc8%22	http://quickdevs.com/demo/travi/blog-grid.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/blog-grid.html	(from http://quickdevs.com/demo/travi/)
15:20:40	15879/15879	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32a-3e07%22	http://quickdevs.com/demo/travi/blog-left-sidebar.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/blog-left-sidebar.html	(from http://quickdevs.com/demo/travi/)
15:20:40	15803/15803	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32a-3dbb%22	http://quickdevs.com/demo/travi/blog-right-sidebar.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/blog-right-sidebar.html	(from http://quickdevs.com/demo/travi/)
15:20:40	21434/21434	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32a-53ba%22	http://quickdevs.com/demo/travi/blog-single.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/blog-single.html	(from http://quickdevs.com/demo/travi/)
15:20:41	12875/12875	---MCZ	200	added ('OK')	text/html	etag:W/%226075b32a-324b%22	http://quickdevs.com/demo/travi/contact.html	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/contact.html	(from http://quickdevs.com/demo/travi/)
15:22:28	649372/649372	---M--	200	added ('OK')	image/jpeg	etag:%226075b38b-9e89c%22	http://quickdevs.com/demo/travi/images/commons/slider-bg-3.jpg	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/commons/slider-bg-3.jpg	(from http://quickdevs.com/demo/travi/)
15:22:29	5804/5804	---M--	200	added ('OK')	image/png	etag:%226075b3ae-16ac%22	http://quickdevs.com/demo/travi/images/icons/scuba-diving.png	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/icons/scuba-diving.png	(from http://quickdevs.com/demo/travi/)
15:22:31	7048/7048	---M--	200	added ('OK')	image/png	etag:%226075b3ac-1b88%22	http://quickdevs.com/demo/travi/images/icons/atv.png	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/icons/atv.png	(from http://quickdevs.com/demo/travi/)
15:22:33	8883/8883	---M--	200	added ('OK')	image/png	etag:%226075b3ad-22b3%22	http://quickdevs.com/demo/travi/images/icons/paragliding.png	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/icons/paragliding.png	(from http://quickdevs.com/demo/travi/)
15:22:35	8645/8645	---M--	200	added ('OK')	image/png	etag:%226075b3ac-21c5%22	http://quickdevs.com/demo/travi/images/icons/bicycle.png	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/icons/bicycle.png	(from http://quickdevs.com/demo/travi/)
15:23:31	1065723/1065723	---M--	200	added ('OK')	image/jpeg	etag:%226075b387-1042fb%22	http://quickdevs.com/demo/travi/images/commons/hero-image.jpg	C:/My%20Web%20Sites/TravelTwo/quickdevs.com/demo/travi/images/commons/hero-image.jpg	(from http://quickdevs.com/demo/travi/)
